"OBSRVTN_NB","DATETIME_DTM","PNT_NM","QUALIFIER_TXT","PNT_ATRISKNOTES_TX","PNT_ATRISKFOLWUPNTS_TX"
143355,"11/14/2019 9:00","Fall protection used when required","Inspection of body harness","One of the body harnesses being used was showing signs of wear. The harness will need replaced in the very near future.",NA
457843,"4/29/2024 9:00","Tools and equipment used correctly (Forestry)","Equipment used properly","[NAME] made cuts over shoulder height on vines. Stopped the crew member and coached him with assistance of [NAME].",NA
451338,"4/5/2024 8:58","JHA-JSA Generation","All employee briefed on potential Hazards","[NAME] a second discussion at the bearing to address a couple hazards not touched on in the office. Slippery surfaces, also srfaces hard on kneeling.",NA
486977,"8/15/2024 15:18","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Surface","Groundman was struggling to keep his balance as he walked over debris left on a steep hill. I suggested that he use a stick to help keep his balance when not operating a saw.",NA
369207,"7/3/2023 10:20","Personal Safety","Hazard recognition, Rushing","LMA rushing and failed to put on all his PPE prior to closing OCR, coached whole crew on the lifesaving rules.",NA
272326,"8/30/2022 11:00","Equipment Operations","Equipment loaded properly","Observed contractor personnel free - rigging wire reels by attaching rigging directly to fork tine with load suspended under the forks, rather than using the proper attachment. An attachment should be used to prevent the rigging from slipping, to reduce friction that could compromise the integrity of the rigging, and ensure the load is secured / balanced properly.",NA
26674,"3/13/2020 14:53","Complete job briefing given (Forestry)","Communicate understanding of tasks, Specific risks / hazards identified","It was obvious the crew did not realize the situation that they had put themselves in by trying to remove a large dead sassafras limb.",NA
394279,"9/15/2023 11:10","PPE","Side Shields adequate","Individual had on safety glasses but did not have side - shields. This was discussed. S & H [NAME] ( G - 4 ) 1. 13",NA
336248,"3/13/2023 8:00","Housekeeping - Generation","Walking / Working Surfaces","Walking and working areas were not ideal in condenser and we needed to slow down and take our time. NO RUSH. This job will not be able to be completed and that is fine. Dont let the stress of trying to complete it cause an accident.",NA
3034,"1/11/2019 11:30","Vehicle Set-up Correct (Forestry)","Wheel chocks used","One wheel chock on truck, not put down at time of observation. [NAME] put the one wheel chock down after I brought it to his attention.",NA
477881,"7/10/2024 13:00","Complete job briefing given","High energy hazards discussed and mitigated, Specific risks - hazards identified","No mention of chain saw use on job briefing. [NAME] decided to cut secondary pole off at the ground instead of using the pole puller. The job was to remove secondary pole for customer. I asked why they didn't want to use puller and LCS stated he didn't think the truck had one. I told him every digger truck should have a usable pole puller.",NA
420358,"12/11/2023 9:00","Personal Safety (Forestry)","Hazard recognition, Rushing","Employee was demonstrating the stick method. [NAME] backed into a branch. [NAME] turned around and began to pull on the branch attempting to break it out of his way. When the branch broke, the end that was still attached to the tree, it scratched employees face and bruised his pride. Another crew member coached employee that he should have cut the limb, instead of trying to break it.",NA
244086,"5/24/2022 10:00","All applicable work procedures are followed","Other - Procedures","Gate was unlocked and left unattended upon entry. Notified crew and they made corrections immediately after coaching on policy.",NA
315426,"1/26/2023 13:59","Fire Extinguishers - Telecom","Fire Extinguisher available on all equipment","Fire extinguisher stand was visible in the back of the truck but no fire extinguisher was visible upon inspection.",NA
264693,"8/4/2022 11:55","Loading/Unloading Procedures","Loading/Unloading form completed","No loading and unloading form was filled out. Recommended having one filled out when tasks included loading and unloading materials and equipment.",NA
446463,"3/19/2024 11:06","Housekeeping - Generation","Job site hazards","Noticed that the Oxygen and Argon bays did not have placarding up. And the acetylene has 2 different signs. Advised that the new sign is the most accurate and more signs are in the closet / office at the back of the meeting room, when needed.",NA
348355,"5/4/2023 10:00","PPE - Workforce","AEP Required (Standard)","While performing site visit. Skid steer operator was not wearing safety glasses. Skid steer had an open front and there was a possibility of debris flying into the cab.","Spoke with operator and recommended that he put some glasses on"
406755,"10/25/2023 9:15","GFCI","Other - GFCI","Noted the welder had a grinder attached to a power cord that was not protected by a GFCI pigtail. Upon speaking to him he corrected the matter.",NA
491035,"8/12/2024 8:15","Complete job briefing given (Forestry)","Communicate understanding of tasks, Job briefing conducted and documented","Pre - Jobs need better engagement. [NAME] fills out pre - job and lacks interaction and feedback from crew.",NA
295673,"11/8/2022 10:08","Direct Controls - Gravity","Direct controls put in place to build capacity for Gravity hazards","The crew had the hard barricades set up around the hole but one end section did not have the weighted plate under it. I explained to the supervisor how these barricades must hold a lateral force and without that end plate the barricade would easily swing towards the hole","They complied immediately"
309264,"1/3/2023 9:50","Climbing - Job Briefing","Were hazards identified?","* Trimmer c was observed drop starting a ground saw aloft instead of utilizing a crotch to start the saw to flush stobs. Addressed to the foreman on - site at the time of the observation.",NA
257022,"7/6/2022 13:16","THA","THA lists step- by-step plan","Coaching moment. Coached [NAME] Electric crew about adding an unexpected task to the THA prior to performing the task. Task was added to the THA and work proceeded after everyone signed the THA.",NA
296332,"11/14/2022 12:55","Personal Safety (Forestry)","Hazard recognition","[NAME] and crew member failed to recognize hazards associated with employee not wearing safety glasses while work tasking / sawing in the row.",NA
462015,"5/14/2024 19:22","THA","THA lists step- by-step plan","THA listed 2 tasks on the same THA. The step of hang jumpers would have been another task due to them not being made and the conductor could be pressed in without the jumper being connected therefore it is another task.","[NAME] Is a great individual and gave me minimal flack / push back for my finding."
185862,"11/2/2021 15:46","Personal Safety","Line of fire, Pinch points","The crew has an old pole pile beside the building that is stacked 3 - 4 high with no barrier to protect from rolling off. On the back side of the pile one pole has already roll off down the bank, against the chain length fence. Leadership and safety will be informed",NA
12052,"10/30/2019 10:30","Appropriate work area traffic control (Forestry)","Appropriate number of signs out, Appropriate signs out, Cones compliant","No cones or signs out. We spoke to crew about the importance of proper set up including the importance of protecting the public.",NA
407579,"10/25/2023 22:17","Equipment Operations near Energized Lines","Equipment grounded","Equipment was properly grounded, but the ground rod was in very close proximity to the working area.","I recommended that crews place the ground rod as far from the work area as possible."
153340,"3/11/2019 10:30","Personal Safety","Line of fire","CREW MEMBER WAS WORKING NEAR NEW POLE WITH AERIAL WORK STILL ONGOING ON NEW POLE. EMPLOYEE WAS CAUTIONED TO STAY CLEAR OF LINE OF FIRE.",NA
101602,"5/6/2021 11:59","Appropriate work area traffic control (Forestry)","Appropriate number of signs out, Appropriate signs out","[NAME] was parked on top of a hill on a double yellow with no flagging operation. I ask crew to move trucks off the road or set up a flagging operation.",NA
492925,"9/9/2024 15:49","Complete job briefing given (Forestry)","Job briefing conducted and documented","Coached on job briefing as on this briefing all crew members hadnt signed the briefing. I was presented a briefing after the fact that everyone did sign, but the back page of briefing wasnt filled out completely mainly missing all the hazard info.",NA
257020,"6/29/2022 13:09","Suspended Load/Overhead Work","Other - Suspended Load/Overhead Work, Properly secured","[NAME] Dilling was moving tooling using a loader with forks attached. They had loads suspended from the forks inside of using a lifting jib or approved lifting eye. Spoke with the operator, and the operator stated they didnt receive their job box with the proper tooling that they normally have. Operator agreed that there was a better way to transport the equipment.",NA
324200,"2/24/2023 10:55","Complete job briefing given (Forestry)","Other - Job Briefing","Job briefing was missing work location / date / time. GF and forester contact info was missing as well. All other info was good.",NA
51704,"8/31/2020 14:43","Tools and equipment used correctly (Forestry)","Tool / Equipment selection and use","dolly used to haul logs to street not designed for heavy loads. G. F. was called to bring tree dolly. was informed he did not have one, and would call another foreman to get his.",NA
243450,"5/26/2022 12:03","Complete job briefing given (Forestry)","Specific risks - hazards identified","Discussed with [NAME] to be deliberate with specific additional hazards. [NAME] kid was near work area in unenclosed back yard, we planned to knock on door to talk to customer, but no mention of this, just "" "" pedestrians / customers "" "" with "" "" keep aware "" "" as initial mitigation.",NA
431231,"1/28/2024 12:05","Housekeeping.","Waste disposed of at frequent intervals","There is various piles of material and debris left at structures by both NHPL and NorthStar crews which need to be removed from the ROW. AEP's Ts & Cs section 10. 15 Housekeeping in Appendix E: Transmission Contractor shall keep all trash in appropriate containers and shall dispose of it in a proper and timely manner. Contractor shall not store materials within the working space around energized lines or equipment.",NA
425328,"12/29/2023 14:34","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Awareness of environment, Footwear, Looking where stepping, Other slip, trip, fall: please describe additional hazards","Ground was very wet from recent rain, especially under the leaves. Could easily slip and / or fall. Jobsite includes various elevation changes.",NA
150979,"2/14/2019 10:00","Equipment used properly within load and operating tolerances","Proper rigging","BT Jib load line to be replaced after identified damage, from prior hooking back into the load line. Discussed this bad practice with crew, and management. All Acknowledged and understanding load line protection and importance.",NA
469834,"6/10/2024 12:46","Housekeeping in order","Walking / Working Surfaces","this job was done in a back lot location so all the tools and materials were carried into the back yard and trip hazards were discussed",NA
471799,"6/19/2024 12:59","Hand and Power Tools","Other - Hand and Power Tools","Spoke with [NAME] crew about using 2 hands on all 2 handed tools. [NAME] was using one hand while cutting wood with circular saw.",NA
300982,"10/18/2022 11:34","Workplace Conditions Addressed","Mud","Myself and the Athens safety professional cleaned up the muddy / rocky conditions left behind by the go track trailer. We used water hose and shovel to clean up Debris",NA
235473,"5/2/2022 13:16","PPE","Other - PPE","In 732 storeroom unclear where you must wear PPE or not? No clear markings on ground to mark PPE zone nor any signs to make it clear. Suggested the worker should paint new line on floor to mark PPE zone and determine expectations for storeroom behavior.",NA
145060,"1/2/2020 11:56","Vehicle Set-up Correct","Location and set up","Had crane set up too close to steel pole base. Had to lower top of steel pole then move crane. Not an unsafe act",NA
484593,"8/6/2024 12:56","Complete job briefing given (Forestry)","Specific risks - hazards identified","[NAME] failed to discuss or document their terrain classification. [NAME] was working on uneven ground and steep bank with heavy vegetation. [NAME] stopped and went and made adjustment to briefing.",NA
238629,"5/12/2022 10:30","Opportunities To be More Effective","Improve Planning","Suggested moving the truck to load materials so that they would be in a better position and not close to other equipment. The crew members agreed.",NA
457714,"4/29/2024 11:15","PPE","Safety glasses adequate","Three crew members had no side shields on prescription safety glasses, notified them and they corrected",NA
275161,"9/1/2022 9:45","Equipment Operations","Designated Spotter as needed (maintaining adequate clearance)","[NAME] was backing a bucket truck without a spotter. The [NAME] addressed the issue and a spotter was designated.",NA
444025,"3/12/2024 15:30","THA","Hazards and mitigation controls identified (THA)","THA Incomplete THA Listed Pinch Points & Slips Trips & [NAME] But Did Not [NAME] Any Areas Where Someone Could Get In A Pinch Point Or Slip Trip Or [NAME]","Site [NAME] Lead Was Coached On The [NAME] Completion Of The THA To Include Listing Known Pinch Point Areas And Areas Were Someone Coud Possibly Slip Trip Or [NAME]. Site Supervisor Was Also Coached On On The Continual Coaching Of The [NAME] On Completing The THA Properly And On Not Using Catch Phase Wording. [NAME] In Progress"
374830,"7/18/2023 10:00","Pre-Job Briefing","Other - Pre-Job Briefing","SPx - Saint [NAME] did not have a form ( Pre - Job Briefing ) filled out for that work day. Stop the Job and locate a form or sign on with Directek's pre - Job Briefing along with task being preformed.",NA
397409,"9/26/2023 15:12","Equipment Operations","Other - Equipment - Motion, Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)","Contractor employee observed moving company truck without using the seatbelt and also had drivers door open.",NA
194623,"12/1/2021 14:33","Tools and equipment used correctly (Forestry)","Equipment used properly","Crewmember was cutting brush, he was observed making improper cuts with the chainsaw. [NAME] was stopped and crew member was coached on the chainsaws proper use to keep him out of harms way.",NA
328544,"3/8/2023 10:18","Workplace Conditions Addressed","Other - Workplace Conditions","There was large rocks around fence, crew discussed this hazard in their tailboard as a possible trip hazard.",NA
479928,"7/16/2024 11:00","THA","Other - THA","I have spoken with [NAME] about dating his paperwork on different occasions. [NAME] needs to improve on documentation dates.",NA
386011,"8/22/2023 11:38","Complete job briefing given (Forestry)","Other - Job Briefing","Coached crew about entering current address working. [NAME] member aknowledged and stated he should of marked and verified",NA
79674,"2/21/2021 9:30","PPE","Side Shields adequate","Reminded one employee to place his side shields on his glasses. [NAME] gladly did so after being reminded.",NA
167899,"8/17/2021 8:00","Opportunities To be More Effective","Knowledge of Policies and Procedures","Contractor noted a knowledge of what 3 points of contact meant in regards to ascending / descending ladders, but did not initially utilize.",NA
433645,"2/1/2024 13:15","Correct work area traffic control","Cones compliant, Vests worn when required","[NAME] was coached for not wearing a Traffic [NAME], while working within 10 of an uncurbbed roadway. [NAME] was coached for not having any cones out around his van, as he was parked on the edge / shoulder of the roadway.",NA
446161,"3/5/2024 10:00","Housekeeping in order","Job site hazards","We discussed a couple for tripping hazards associated with customer old equipment in the general area",NA
488212,"8/22/2024 15:06","JHA-JSA Generation","All employee briefed on potential Hazards","One employee that was in the briefing had not been identified as the crane operator and had not signed on the JHA. Stopped job and the employee signed on. The work proceeded safely.",NA
252574,"6/25/2022 7:50","Live Line Tools and Insulated PPE","All insulated tools/equipment properly stored","observed clamp stick ( shotgun ) laying on the bed of the truck with tools and equipment in a position where it could collect contaminants and possibly get damaged.","After pointing this out, there was a discussion about the hazard and the stick was placed in an appropriate location."
493806,"9/12/2024 10:45","PPE","Safety glasses adequate","Asked several students to put on their safety glasses. Some students did not have clear glasses for inside the training center building. For those students who did not have glasses were asked to observe from outside the work zone.",NA
472965,"6/24/2024 8:19","Self checking - STAR","Pause before performing task, Verification","after the incident, the crew stopped for the day to discuss what went wrong and to get their minds straight",NA
64888,"11/13/2020 11:00","First Aid Kit (Forestry)","Expiration date, Other - First aid kit","Burn gel was expired by almost 2 years and all items were wet. GF replaced on site. [NAME] was missing safety bag with second kit but it was found on other truck on site same day",NA
314646,"1/24/2023 12:57","Pre-Job Briefing","Hazards associated with the job identified","Arc flash was not listed as a potential hazard while hooking up leads to control panels for testing. Coached foreman on the importance of listing all potential hazards associated with the job.",NA
90968,"3/30/2021 11:54","Live line tools, inspection, etc.","Inspection visible and within date","Servicer had been off for six months all sticks where out of date had to go get him a good dated stick to do switching steps,",NA
344926,"4/26/2023 12:24","Personal Safety","Hazard recognition, Line of fire, Stored energy","Employee was walking up slope of hill following pole that was being winched. [NAME] instructed employee to stay out of the line of fire and made sure the employee understood the danger.",NA
297600,"11/18/2022 15:30","THA","THA lists step- by-step plan","One THA was lacking detailed steps. The task should be better described regarding its step by step breakdown.",NA
381911,"8/9/2023 21:46","Hand and Power Tools","Other - Hand and Power Tools","The task was installing silt fence. The crew was doing a great job of using scissors to cut the fence; however, the scissors were in the employee's back pocket when not in use.","I recommended using a sheath to hold the tool when not in use to prevent accidental injuries if an employee were to fall down. The contractor committed to exploring options to store the scissors when not in use."
316033,"1/24/2023 11:49","Cover up activities","Adequate amount of cover up used, Cover other energized potentials","BEFORE the task began both crews had a great discussion with questions about the steps for cover up placement. On a three phase double circuit, to lay out wires with one side of the bottom circuit, energized, and the other side, not energized. However, there was only one hose put on each side of the neutral. The span of cover up above was 2 to 3 hoses on either side of the phases. I made the suggestion to add the same adequate span of cover - up to the neutral.",NA
62286,"10/29/2020 13:10","Working in MINIMUM APPROACH DISTANCE: - Working near 13kV energized conductors and MAD cannot be maintained, what class gloves/sleeves are required?","[Notes Required for At-Risk Conditions]","The senior line mechanic answered incorrectly ( class 4 ) and others followed along. One of the younger employees who recently attended a training session answered correctly. Had them read E 1. 14",NA
310059,"1/6/2023 14:23","Personal Safety","Pinch points","[NAME] member was trying to put blankets and hoses in the catwalk bin while the bucket operator was still aloft. [NAME] coached on the rotating equipment hazard and how this could lead to injury. Employee was receptive to the feedback.",NA
480962,"7/24/2024 14:45","Workplace Conditions Addressed","Lightning","Suggested the use of a flashlight while working in dim / darker areas while placing hands inside boom, engine bay and under unit while inspecting the chassis.",NA
448054,"3/25/2024 11:04","THA","Review with each crewmember after lunch and/or significant break in the Work","THA in use needed more detail regarding associated job hazards such as: Bites and stings from stinging and biting insects and animals along with recommended controls.",NA
281670,"9/28/2022 7:37","Hand and Power Tools","Guards utilized as required by manufacturer","[NAME] was using a grinder with no guard to cut through guy wire. While on site we had a discussion about why we need to use guards on girders and a guard was placed before more cutting took place.","This was communicated with [NAME] safety."
229057,"4/11/2022 14:14","Live line tools, inspection, etc.","Stick wiped and inspected before use","Hot sticks used for job were not wiped before use. Discussed with team the importance of cleaning that stick before using it.",NA
213423,"2/15/2022 10:00","Fire extinguisher inspection up to date and was set off when required","Inspection up to date","The [NAME] was coached as the Fire Extinguisher did not have any labels on it. They were asked to exchange it when they got back to the barn",NA
